pair_name,bayes_mode,sample_index,sample_id,label,main_pred,rep_pred,fusion_pred,main_correct,rep_correct,fusion_correct,main_rep_pred_disagree,main_rep_margin_sign_conflict,disagreement_type,fusion_followed_prediction,main_true_margin,rep_true_margin,fusion_true_margin,main_max_wrong_class,rep_max_wrong_class,fusion_max_wrong_class,margin_conflict_type,fusion_followed_margin_side,fusion_margin_negative,main_true_prob,rep_true_prob,fusion_true_prob,main_max_wrong_prob,rep_max_wrong_prob,fusion_max_wrong_prob
case_B__VS__case_A,mc_prob_mean_probs,0,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c01.jpg,0,0,0,0,True,True,True,False,False,same_pred_both_correct,both_same_prediction,0.981600284576416,0.7703879475593567,0.9767592549324036,1,12,12,both_positive,branches_same_margin_side,False,0.9880736470222473,0.8785799145698547,0.9863944053649902,0.006473354995250702,0.10819196701049805,0.009635156020522118
case_B__VS__case_A,mc_prob_mean_probs,1,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c02.jpg,0,0,0,0,True,True,True,False,False,same_pred_both_correct,both_same_prediction,0.8879359364509583,0.925355851650238,0.9127511382102966,1,1,1,both_positive,branches_same_margin_side,False,0.9437814950942993,0.959212601184845,0.9561333656311035,0.05584556981921196,0.033856745809316635,0.04338221624493599
case_B__VS__case_A,mc_prob_mean_probs,2,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c03.jpg,0,0,0,0,True,True,True,False,False,same_pred_both_correct,both_same_prediction,0.9994832277297974,0.9744580984115601,0.9985411763191223,1,1,1,both_positive,branches_same_margin_side,False,0.9997360110282898,0.9860884547233582,0.9992583990097046,0.00025277171516790986,0.011630346067249775,0.0007172181503847241
case_B__VS__case_A,mc_prob_mean_probs,3,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c04.jpg,0,0,0,0,True,True,True,False,False,same_pred_both_correct,both_same_prediction,0.9515981674194336,0.9051533937454224,0.9474643468856812,1,1,1,both_positive,branches_same_margin_side,False,0.9754249453544617,0.950997531414032,0.9733091592788696,0.023826787248253822,0.04584411531686783,0.025844823569059372
case_B__VS__case_A,mc_prob_mean_probs,4,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c05.jpg,0,0,0,0,True,True,True,False,False,same_pred_both_correct,both_same_prediction,0.9993957281112671,0.9904511570930481,0.9987602233886719,1,1,1,both_positive,branches_same_margin_side,False,0.9996916651725769,0.9951946139335632,0.9993740916252136,0.0002959448320325464,0.004743480123579502,0.0006138802273198962
case_B__VS__case_A,mc_prob_mean_probs,5,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c06.jpg,0,0,1,0,True,False,True,True,True,main_correct_rep_wrong,main,0.9632839560508728,-0.4672049283981323,0.8320519924163818,1,1,1,main_positive_rep_negative,main,False,0.9814608693122864,0.25869494676589966,0.9156420826911926,0.01817692443728447,0.725899875164032,0.08359010517597198
case_B__VS__case_A,mc_prob_mean_probs,6,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c01.jpg,0,0,1,0,True,False,True,True,True,main_correct_rep_wrong,main,0.32968080043792725,-0.513248085975647,0.014423608779907227,1,1,1,main_positive_rep_negative,main,False,0.6644472479820251,0.2418784648180008,0.5068122744560242,0.3347664475440979,0.7551265358924866,0.49238866567611694
case_B__VS__case_A,mc_prob_mean_probs,7,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c02.jpg,0,0,0,0,True,True,True,False,False,same_pred_both_correct,both_same_prediction,0.8686227798461914,0.9604162573814392,0.9287047386169434,1,1,1,both_positive,branches_same_margin_side,False,0.9340626001358032,0.9705920219421387,0.9639631509780884,0.06543980538845062,0.010175764560699463,0.03525843471288681
case_B__VS__case_A,mc_prob_mean_probs,8,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c03.jpg,0,0,0,0,True,True,True,False,False,same_pred_both_correct,both_same_prediction,0.6238746643066406,0.8893561959266663,0.9258657693862915,1,33,1,both_positive,branches_same_margin_side,False,0.7948189973831177,0.9337239265441895,0.9499320983886719,0.17094433307647705,0.04436773061752319,0.024066299200057983
case_B__VS__case_A,mc_prob_mean_probs,9,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c04.jpg,0,1,0,0,False,True,True,True,True,main_wrong_rep_correct,rep,-0.33025556802749634,0.7193633317947388,0.13821810483932495,1,1,1,main_negative_rep_positive,rep,False,0.3207879662513733,0.7959643006324768,0.5570698976516724,0.6510435342788696,0.07660096883773804,0.4188517928123474
case_B__VS__case_A,mc_prob_mean_probs,10,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c01.jpg,0,0,0,0,True,True,True,False,False,same_pred_both_correct,both_same_prediction,0.993346631526947,0.998329222202301,0.9960082769393921,1,1,1,both_positive,branches_same_margin_side,False,0.996661365032196,0.9991377592086792,0.9979977607727051,0.0033147551584988832,0.0008085410227067769,0.0019894898869097233
case_B__VS__case_A,mc_prob_mean_probs,11,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c02.jpg,0,0,0,0,True,True,True,False,False,same_pred_both_correct,both_same_prediction,0.9244731664657593,0.9928013682365417,0.965462327003479,1,1,1,both_positive,branches_same_margin_side,False,0.9622241854667664,0.9963390231132507,0.9827247858047485,0.03775101155042648,0.003537642303854227,0.017262455075979233
case_B__VS__case_A,mc_prob_mean_probs,12,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c03.jpg,0,0,0,0,True,True,True,False,False,same_pred_both_correct,both_same_prediction,0.9945247173309326,0.9892663359642029,0.9987286925315857,1,33,1,both_positive,branches_same_margin_side,False,0.9970895648002625,0.9946087002754211,0.9992406964302063,0.0025648281443864107,0.0053423610515892506,0.0005120295681990683
case_B__VS__case_A,mc_prob_mean_probs,13,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c04.jpg,0,0,0,0,True,True,True,False,False,same_pred_both_correct,both_same_prediction,0.9975208640098572,0.9962815046310425,0.9986180067062378,1,33,1,both_positive,branches_same_margin_side,False,0.9987140893936157,0.9980249404907227,0.9992694854736328,0.0011932041961699724,0.001743421657010913,0.0006514790584333241
case_B__VS__case_A,mc_prob_mean_probs,14,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c05.jpg,0,0,0,0,True,True,True,False,False,same_pred_both_correct,both_same_prediction,0.9985777139663696,0.9983540177345276,0.9994063973426819,1,33,1,both_positive,branches_same_margin_side,False,0.9992668032646179,0.9991434216499329,0.9996839761734009,0.0006890954682603478,0.0007894017035141587,0.00027755837072618306
