sample_id,label,MMRL_pred,Bayes_pred,case_type,MMRL_conf,Bayes_conf,MMRL_entropy,Bayes_entropy,JS,sym_KL,L1
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c01.jpg,0,0,0,both_correct,0.9651975,0.9885406,0.17576899,0.0724217,0.0034582869,0.014734181,0.047311738
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c02.jpg,0,0,0,both_correct,0.9284317,0.96065485,0.26433256,0.16849971,0.0025628218,0.010445101,0.06446031
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c03.jpg,0,0,0,both_correct,0.99920005,0.99935716,0.0065986393,0.0054852995,8.224268e-06,3.6620866e-05,0.00033804204
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c04.jpg,0,0,0,both_correct,0.97713625,0.9758111,0.11313041,0.11756959,2.3380588e-05,9.3943134e-05,0.0030652387
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c05.jpg,0,0,0,both_correct,0.99881136,0.9994252,0.009369177,0.0049273507,5.5645567e-05,0.0002282243,0.0012290229
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c06.jpg,0,0,0,both_correct,0.877536,0.92217326,0.39243147,0.2778228,0.003230901,0.013576802,0.08927484
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c01.jpg,0,1,0,MMRL_wrong_Bayes_correct,0.66958976,0.50802433,0.6371385,0.6990209,0.016443193,0.066189304,0.3566489
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c02.jpg,0,0,0,both_correct,0.9611107,0.97045666,0.16669779,0.13693836,0.00038100997,0.0015335702,0.019261975
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c03.jpg,0,0,0,both_correct,0.91684365,0.9560614,0.37777576,0.23136246,0.0044706296,0.018659558,0.07926042
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c04.jpg,0,1,0,MMRL_wrong_Bayes_correct,0.6418345,0.5624467,0.7694082,0.7932471,0.027651975,0.1118472,0.46230048
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c01.jpg,0,0,0,both_correct,0.99164635,0.9981686,0.048832744,0.013460761,0.0011380753,0.0049848296,0.0130464
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c02.jpg,0,0,0,both_correct,0.99057686,0.98414177,0.053585336,0.0815625,0.00042661664,0.0017267326,0.01291508
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c03.jpg,0,0,0,both_correct,0.9965289,0.99931514,0.025444759,0.006277076,0.0005247321,0.002351765,0.005572578
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c04.jpg,0,0,0,both_correct,0.9897037,0.9993488,0.061701253,0.005720396,0.0025788245,0.013488622,0.019290294
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c05.jpg,0,0,0,both_correct,0.9925666,0.9997342,0.047642346,0.0026060955,0.002102342,0.012076853,0.01433544
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c06.jpg,0,0,0,both_correct,0.96975976,0.9779785,0.13620076,0.106011905,0.0003412274,0.0013788997,0.01644389
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c01.jpg,0,0,0,both_correct,0.9074923,0.8588032,0.3130893,0.41173136,0.0029235217,0.011773007,0.09763303
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c02.jpg,0,0,0,both_correct,0.83174515,0.7826534,0.4544884,0.52654105,0.0019517094,0.007827846,0.09818487
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c03.jpg,0,0,1,MMRL_correct_Bayes_wrong,0.5512657,0.64032406,0.7061071,0.76385164,0.027114224,0.116056845,0.4295567
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c04.jpg,0,0,0,both_correct,0.91128075,0.9574456,0.29996917,0.17639957,0.004437577,0.018123198,0.09235326
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c05.jpg,0,0,0,both_correct,0.87339354,0.7835471,0.38477573,0.52658004,0.0072341347,0.029230867,0.1801367
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c06.jpg,0,0,0,both_correct,0.8814254,0.76375365,0.3645914,0.5476557,0.012051964,0.049001954,0.23534398
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c07.jpg,0,0,0,both_correct,0.81748617,0.8557672,0.476063,0.41349933,0.0013460156,0.005395082,0.076590635
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c01.jpg,0,0,1,MMRL_correct_Bayes_wrong,0.6473239,0.5437709,0.6966237,0.7556737,0.021204313,0.08547467,0.4073033
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c02.jpg,0,0,0,both_correct,0.99034613,0.98813105,0.055616807,0.066868916,8.58391e-05,0.0003535344,0.0044333753
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c03.jpg,0,0,0,both_correct,0.9873017,0.9873055,0.07048965,0.07020754,4.8702295e-06,1.9784959e-05,0.00018761982
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c04.jpg,0,0,0,both_correct,0.9944094,0.9914051,0.03628915,0.051492278,0.00018810167,0.0007673199,0.0061535263
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c05.jpg,0,0,0,both_correct,0.99004656,0.99039906,0.057935014,0.05738562,2.9015151e-05,0.00011946267,0.0012801187
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c06.jpg,0,0,0,both_correct,0.9952501,0.9960615,0.03105794,0.026531594,2.3862474e-05,9.6238364e-05,0.001665732
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c07.jpg,0,0,0,both_correct,0.9252769,0.92553985,0.26801133,0.2730424,0.00016699295,0.0007414373,0.0024452237
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c01.jpg,0,0,0,both_correct,0.9989299,0.9991904,0.008980028,0.0068577803,2.5382511e-05,0.00010786916,0.000527278
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c02.jpg,0,0,0,both_correct,0.999582,0.9994159,0.003943041,0.005147824,2.9151579e-05,0.000120406316,0.0004940207
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c03.jpg,0,0,0,both_correct,0.97977626,0.9986274,0.107550584,0.012029251,0.0052947067,0.029539175,0.03770283
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c04.jpg,0,0,0,both_correct,0.99899966,0.999534,0.008450807,0.004142264,6.556539e-05,0.0002977326,0.0010688897
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c05.jpg,0,0,0,both_correct,0.9990336,0.99863726,0.008115244,0.010671687,3.3501776e-05,0.00013585098,0.00094085693
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c06.jpg,0,0,0,both_correct,0.9998235,0.99993193,0.0018624373,0.0007997572,1.6650758e-05,7.2499824e-05,0.000221301
/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c07.jpg,0,0,0,both_correct,0.9986582,0.999585,0.011236119,0.003816574,0.00016495805,0.0008006132,0.0018539266
