case_name,method,protocol,dataset,shots,seed,split,index,y,pred_c,pred_r,pred_f,correct_c,correct_r,correct_f,both_correct,c_only,r_only,both_wrong,agree_argmax,logit_cos,feat_cos,kl_c_r,kl_r_c,sym_kl,js_div,margin_c,margin_r,margin_f,conf_c,conf_r,conf_f,fusion_beats_c,fusion_beats_r,fusion_beats_both,hurt_c,hurt_r,hurt_best_branch
MMRL_8shot_seed1,MMRL,FS,caltech101,8,1,test,0,0,0,99,0,1,0,1,0,1,0,0,0,-0.16935425996780396,0.03559578210115433,4.017040729522705,0.7982943654060364,2.4076675474643707,0.9641881585121155,6.974483489990234,0.11076831817626953,6.296941757202148,0.9904631972312927,0.4997490644454956,0.9855563044548035,0,1,0,0,0,0
MMRL_8shot_seed1,MMRL,FS,caltech101,8,1,test,1,0,0,0,0,1,1,1,1,0,0,0,1,0.08099602162837982,0.017845449969172478,0.017177533358335495,0.07294053584337234,0.04505903460085392,0.017225267365574837,5.725927352905273,6.478329181671143,6.666452407836914,0.9798118472099304,0.9949453473091125,0.9916457533836365,0,0,0,0,0,0
MMRL_8shot_seed1,MMRL,FS,caltech101,8,1,test,2,0,0,0,0,1,1,1,1,0,0,0,1,0.7475131750106812,0.009630434215068817,1.1932237148284912,0.3401588499546051,0.7666912823915482,0.28368890285491943,5.070657730102539,2.138791084289551,5.8756561279296875,0.9827446341514587,0.7292711734771729,0.9828251004219055,0,0,0,0,0,0
MMRL_8shot_seed1,MMRL,FS,caltech101,8,1,test,3,0,0,0,0,1,1,1,1,0,0,0,1,0.29750579595565796,0.06115953251719475,0.8348689675331116,6.65927791595459,3.7470734417438507,1.620356559753418,0.5107231140136719,8.616015434265137,4.531518936157227,0.4326556324958801,0.9995087385177612,0.952484130859375,0,0,0,0,0,0
MMRL_8shot_seed1,MMRL,FS,caltech101,8,1,test,4,0,0,99,0,1,0,1,0,1,0,0,0,-0.013237226754426956,0.014663813635706902,5.872193813323975,1.2943533658981323,3.5832735896110535,1.434527039527893,5.985813140869141,0.8945808410644531,4.710184097290039,0.9905458688735962,0.6554443836212158,0.979363739490509,0,1,0,0,0,0
MMRL_8shot_seed1,MMRL,FS,caltech101,8,1,test,5,0,0,0,0,1,1,1,1,0,0,0,1,-0.36596202850341797,0.04555431008338928,0.022932495921850204,0.08820198476314545,0.055567240342497826,0.020617270842194557,5.466592788696289,7.173453330993652,6.24152946472168,0.9754565358161926,0.9970244765281677,0.9917528033256531,0,0,0,0,0,0
MMRL_8shot_seed1,MMRL,FS,caltech101,8,1,test,6,0,0,0,0,1,1,1,1,0,0,0,1,0.05832504853606224,0.028968947008252144,0.013558048754930496,0.025174854323267937,0.019366451539099216,0.006893830373883247,7.109285354614258,6.287923812866211,7.5802001953125,0.9916849136352539,0.9929379820823669,0.995232880115509,0,0,0,0,0,0
MMRL_8shot_seed1,MMRL,FS,caltech101,8,1,test,7,0,0,0,0,1,1,1,1,0,0,0,1,0.3703620731830597,-0.015404904261231422,0.038623858243227005,0.06900446116924286,0.05381415970623493,0.020078685134649277,5.183496475219727,6.026782989501953,6.880464553833008,0.9811972975730896,0.9872844219207764,0.9915181994438171,0,0,0,0,0,0
MMRL_8shot_seed1,MMRL,FS,caltech101,8,1,test,8,0,0,0,0,1,1,1,1,0,0,0,1,-0.09251932054758072,0.002381834201514721,0.018748821690678596,0.1579817533493042,0.0883652875199914,0.038016341626644135,4.442974090576172,7.985921859741211,7.224525451660156,0.981012225151062,0.9984086155891418,0.9969158172607422,0,0,0,0,0,0
MMRL_8shot_seed1,MMRL,FS,caltech101,8,1,test,9,0,0,0,0,1,1,1,1,0,0,0,1,-0.3980816602706909,0.046910930424928665,0.018464773893356323,0.12055204808712006,0.06950841099023819,0.028485333546996117,5.353065490722656,9.28166389465332,6.946527481079102,0.9811097383499146,0.9996063113212585,0.9969565868377686,0,0,0,0,0,0
MMRL_8shot_seed1,MMRL,FS,caltech101,8,1,test,10,0,0,0,0,1,1,1,1,0,0,0,1,0.41876479983329773,0.08950395882129669,0.022604234516620636,0.14848385751247406,0.08554404601454735,0.03539258986711502,4.639196395874023,7.556484222412109,7.664209365844727,0.9772204756736755,0.998713493347168,0.9956498742103577,0,0,0,0,0,0
