sample_index,path,y,y_name,pred_text,pred_support,pred_final,pred_text_name,pred_support_name,pred_final_name,correct_text,correct_support,correct_final,error_text,error_support,error_final,js_text_support,one_minus_cos_text_support,top1_disagree_text_support,margin_conflict_text_support,msp_text,entropy_text,margin_text,energy_text,msp_support,entropy_support,margin_support,energy_support,msp_final,entropy_final,margin_final,energy_final,one_minus_msp_text,neg_margin_text,one_minus_msp_support,neg_margin_support,one_minus_msp_final,neg_margin_final,support_density_maxsim,support_density_topk_mean,support_density_top5_mean,ignorance_score,conflict_aware_confidence,conflict_aware_error_score,top3_text,top3_support,top3_final
0,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0426.jpg,0,face,42,0,0,garfield,face,face,0,1,1,1,0,0,0.16215733224417572,0.7356363709700922,1,0.27297606359334337,0.024534227184115055,4.390253461041552,0.0,-27.983852,0.25670177,3.8778979256598394,0.23119662368891897,-1.1920929e-07,0.13063765241257821,4.29623302559487,0.11261112589518764,-0.0,0.975465772815885,-0.0,0.74329823,-0.23119662368891897,0.8693623475874218,-0.11261112589518764,0.8551416,0.7424289,0.81801635,-0.7424289,0.07214414332194106,0.9278558566780589,hedgehog:0.0245; helicopter:0.0245; gerenuk:0.0245,face:0.2567; brain:0.0255; panda:0.0225,face:0.1306; panda:0.0180; hawksbill:0.0164
1,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0239.jpg,0,face,42,0,0,garfield,face,face,0,1,1,1,0,0,0.3811764276895261,0.906181050236553,1,0.7593371729784792,0.023583335017318754,4.477442373505542,0.0,-26.999912,0.7451045,1.7096753179090447,0.7358007679050715,-2.0861626e-07,0.3761950887412511,3.4747352733968193,0.36260532652626754,-0.0,0.9764166649826812,-0.0,0.2548955,-0.7358007679050715,0.6238049112587489,-0.36260532652626754,0.9011686,0.80574256,0.8934043,-0.80574256,0.12945985790814651,0.8705401420918535,hedgehog:0.0236; helicopter:0.0236; gerenuk:0.0236,face:0.7451; brain:0.0093; wheelchair:0.0083,face:0.3762; gerenuk:0.0136; headphone:0.0131
2,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0353.jpg,0,face,90,0,0,tick,face,face,0,1,1,1,0,0,0.2943535758100421,0.8888588866406735,1,0.5796774859444342,0.025305607696422698,4.342344883782682,0.0,-27.441526,0.561661,2.626397058576202,0.53422252156577,5.9604645e-08,0.28376208666179753,3.7787245469894852,0.26044791901753817,-0.0,0.9746943923035774,-0.0,0.438339,-0.53422252156577,0.7162379133382024,-0.26044791901753817,0.93065625,0.8529724,0.92718714,-0.8529724,0.11480126797781455,0.8851987320221855,wild_cat:0.0253; windsor_chair:0.0253; umbrella:0.0253,face:0.5617; dalmatian:0.0274; anchor:0.0109,face:0.2838; dalmatian:0.0233; wheelchair:0.0179
3,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0320.jpg,0,face,80,0,0,scorpion,face,face,0,1,1,1,0,0,0.137437283671153,0.713188771867517,1,0.31153491188922594,0.022657061547371727,4.501993571471592,0.0,-26.898485,0.30055922,3.735970673548088,0.2802881343795216,-0.0,0.15450507871637592,4.256419406180992,0.13487929869096899,-0.0,0.9773429384526283,-0.0,0.6994408,-0.2802881343795216,0.845494921283624,-0.13487929869096899,0.7489815,0.71354425,0.74575245,-0.71354425,0.09157558230402761,0.9084244176959724,strawberry:0.0227; sunflower:0.0227; snoopy:0.0227,face:0.3006; dalmatian:0.0203; flamingo_head:0.0176,face:0.1545; stop_sign:0.0196; sunflower:0.0186
4,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0425.jpg,0,face,23,0,0,cougar_body,face,face,0,1,1,1,0,0,0.1877642142737736,0.8108231090973196,1,0.37900937028448667,0.017198912462155512,4.468869817364163,0.0,-27.407982,0.37562636,3.459730527762194,0.3545824302465277,-5.9604645e-08,0.19031293024970597,4.152064386836952,0.17350966582984417,-0.0,0.9828010875378445,-0.0,0.6243737,-0.3545824302465277,0.809687069750294,-0.17350966582984417,0.87487537,0.7468498,0.84625924,-0.7468498,0.09815909939298273,0.9018409006070173,cougar_face:0.0172; crab:0.0172; crayfish:0.0172,face:0.3756; panda:0.0210; dalmatian:0.0164,face:0.1903; dalmatian:0.0168; wheelchair:0.0148
5,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0200.jpg,0,face,13,0,0,brontosaurus,face,face,0,1,1,1,0,0,0.49984175256417696,0.8969971686197263,1,0.8935443281567647,0.016105869827946637,4.496059595923344,0.0,-26.1478,0.88828325,0.8463902731935088,0.8842449542423131,3.7252903e-08,0.449157723275875,3.171066687122604,0.4401722514752399,-0.0,0.9838941301720534,-0.0,0.11171675,-0.8842449542423131,0.550842276724125,-0.4401722514752399,0.9344012,0.8541051,0.93082494,-0.8541051,0.12835979609109882,0.8716402039089012,butterfly:0.0161; brontosaurus:0.0161; buddha:0.0161,face:0.8883; wheelchair:0.0040; dalmatian:0.0037,face:0.4492; car_side:0.0090; cellphone:0.0089
6,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0286.jpg,0,face,90,0,0,tick,face,face,0,1,1,1,0,0,0.3064502942156655,0.8974274397072728,1,0.6409546665735147,0.016742118916526414,4.529640356756243,0.0,-28.41196,0.6309736,2.3074218871822048,0.6182339118063908,2.0861626e-07,0.3180689591169195,3.7249814161848898,0.3040422355246461,-0.0,0.9832578810834736,-0.0,0.36902642,-0.6182339118063908,0.6819310408830805,-0.3040422355246461,0.9026139,0.8027817,0.89636785,-0.8027817,0.12560717715033012,0.8743928228496699,wild_cat:0.0167; windsor_chair:0.0167; umbrella:0.0167,face:0.6310; anchor:0.0127; wheelchair:0.0113,face:0.3181; wheelchair:0.0140; octopus:0.0117
7,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0268.jpg,0,face,23,0,0,cougar_body,face,face,0,1,1,1,0,0,0.18947868373542293,0.6772404694840417,1,0.1961078663534569,0.040056732857626454,4.035787922218371,0.0,-28.135931,0.16657078,4.186998597605798,0.1310162829309255,-1.1920929e-07,0.08402450514927298,4.3008719436475085,0.04621888967933761,-0.0,0.9599432671423735,-0.0,0.8334292,-0.1310162829309255,0.915975494850727,-0.04621888967933761,0.7803115,0.73536557,0.7718409,-0.73536557,0.04314716499676359,0.9568528350032364,cougar_face:0.0401; crab:0.0401; crayfish:0.0401,face:0.1666; dalmatian:0.0356; hedgehog:0.0186,face:0.0840; dalmatian:0.0378; crocodile_head:0.0264
8,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0372.jpg,0,face,42,0,0,garfield,face,face,0,1,1,1,0,0,0.4029583012314555,0.8044442088482526,1,0.8013880867476778,0.023740598790011936,4.391461207538762,0.0,-29.57241,0.80116343,1.3816762929058843,0.7893046727593205,-2.9802322e-08,0.41117988627011687,3.289527051453778,0.39780399610478606,5.9604645e-08,0.9762594012099881,-0.0,0.19883657,-0.7893046727593205,0.5888201137298832,-0.39780399610478606,0.93821526,0.82864237,0.9303621,-0.82864237,0.1363875032254606,0.8636124967745394,hedgehog:0.0237; helicopter:0.0237; gerenuk:0.0237,face:0.8012; dalmatian:0.0119; flamingo_head:0.0056,face:0.4112; flamingo_head:0.0134; hedgehog:0.0134
9,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0157.jpg,0,face,2,0,0,motorbike,face,face,0,1,1,1,0,0,0.4801331770319508,0.8870973283946222,1,0.8866600457290503,0.02695667858423614,4.374878272366387,0.0,-28.306192,0.87240535,0.9521986393876528,0.8683467713403515,1.6391277e-07,0.44239183824407385,3.1436716329089713,0.4275420542924061,-5.9604645e-08,0.9730433214157639,-0.0,0.12759465,-0.8683467713403515,0.5576081617559261,-0.4275420542924061,0.9466233,0.8627993,0.9386511,-0.8627993,0.1300897686463813,0.8699102313536187,motorbike:0.0270; metronome:0.0270; menorah:0.0270,face:0.8724; brain:0.0041; anchor:0.0033,face:0.4424; nautilus:0.0148; octopus:0.0148
